File ID,Order ID,Supplier,Plant,Part No,Due Date,Order Qty,Pakage No,Pakage Qty,Route&Qty,Uploaded By,Uploaded Date
AD20112401,20200617A113,SPV,JIT-Rayong,UPPER TRACK END CAP LH BLACK,17/06/2020,320,12,27.00,SPV-JITRayong-1,Batman,25/11/2020
AD20112401,20200617A110,SPV,JIT-Rayong,SIDE VALANCE I/B RH EBONY,17/06/2020,200,12,17.00,SPV-JITRayong-1,Batman,25/11/2020
AD20112401,20200617A099,SPV,JIT-Rayong,CAP SIDEMEMBER BLACK ,17/06/2020,800,12,67.00,SPV-JITRayong-1,Batman,25/11/2020
AD20112401,20200617A114,SPV,JIT-Rayong,UPPER TRACK END CAP RH BLACK,17/06/2020,320,12,27.00,SPV-JITRayong-1,Batman,25/11/2020
AD20112401,20200617A106,SPV,JIT-Rayong,PLASTIC CLIP TILT ,17/06/2020,150,12,13.00,SPV-JITRayong-1,Batman,25/11/2020
AD20112401,20200617A104,SPV,JIT-Rayong,PIVOT COVER OB LH EBONY ,17/06/2020,240,12,20.00,SPV-JITRayong-1,Batman,25/11/2020
AD20112401,20200601A001,AUN,Metal,RR MEMB PIPE RH R/C,01/06/2020,150,12,17.00,aun-metal-1,Batman,28/11/2020
AD20112401,20200618A046,AUN,Foam,FRM HRST FR SEAT,18/06/2020,1200,12,100.00,AUN-Foam-1,Batman,25/11/2020
AD20112401,20200618A051,AUN,Foam,FRONT HEADREST FRAME,18/06/2020,1200,12,100.00,AUN-Foam-1,Batman,25/11/2020
AD20112401,20200617A108,SPV,JIT-Rayong,RECLINER LEVER RH EBONY,17/06/2020,150,12,13.00,SPV-JITRayong-1,Batman,25/11/2020
AD20112401,20200618A047,AUN,Foam,STAY-HRST SIDE,18/06/2020,800,12,67.00,AUN-Foam-1,Batman,25/11/2020
AD20112401,20200618A048,AUN,Foam,ASSY STAY-HRST CTR,18/06/2020,200,12,17.00,AUN-Foam-1,Batman,25/11/2020
AD20112401,20200618A049,AUN,Foam,ASSY FRM-HRST FR SLIM,18/06/2020,200,12,17.00,AUN-Foam-1,Batman,25/11/2020
AD20112401,20200618A050,AUN,Foam,HR STAY PIPE ASSY,18/06/2020,360,12,30.00,AUN-Foam-1,Batman,25/11/2020
AD20112401,20200618A052,AUN,Foam,ASM HR FRAME OB,18/06/2020,1200,12,100.00,AUN-Foam-1,Batman,25/11/2020
AD20112401,20200618A053,AUN,Foam,ASM HR FRAME CTR,18/06/2020,600,12,50.00,AUN-Foam-1,Batman,25/11/2020
AD20112401,20200618A054,AUN,Foam,HR ROD 2ND ROW OB ASM,18/06/2020,125,12,11.00,AUN-Foam-1,Batman,25/11/2020
AD20112401,20200601A005,AUN,Metal,MAIN PIPE LH RR BACK,01/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200604A003,AUN,Metal,RR MEMB PIPE RH R/C,04/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200605A003,AUN,Metal,RR MEMB PIPE RH R/C,05/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200611A003,AUN,Metal,RR MEMB PIPE RH R/C,11/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200615A002,AUN,Metal,RR MEMB PIPE RH R/C,15/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200617A001,AUN,Metal,RR MEMB PIPE RH R/C,17/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200619A003,AUN,Metal,RR MEMB PIPE RH R/C,19/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200604A004,AUN,Metal,MAIN PIPE RH R/C,04/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200605A004,AUN,Metal,MAIN PIPE RH R/C,05/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200601A002,AUN,Metal,MAIN PIPE RH R/C,01/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200609A003,AUN,Metal,MAIN PIPE RH R/C,09/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200611A004,AUN,Metal,MAIN PIPE RH R/C,11/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200617A002,AUN,Metal,MAIN PIPE RH R/C,17/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200619A004,AUN,Metal,MAIN PIPE RH R/C,19/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200602A002,AUN,Metal,RR MEMB PIPE LH R/C,02/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200601A003,AUN,Metal,RR MEMB PIPE LH R/C,01/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200609A004,AUN,Metal,RR MEMB PIPE LH R/C,09/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200611A005,AUN,Metal,RR MEMB PIPE LH R/C,11/06/2020,75,12,7.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200615A004,AUN,Metal,RR MEMB PIPE LH R/C,15/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200617A003,AUN,Metal,RR MEMB PIPE LH R/C,17/06/2020,75,12,7.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200618A001,AUN,Metal,RR MEMB PIPE LH R/C,18/06/2020,75,12,7.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200619A005,AUN,Metal,RR MEMB PIPE LH R/C,19/06/2020,75,12,7.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200611A006,AUN,Metal,MAIN PIPE LH R/C,11/06/2020,75,12,7.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200617A004,AUN,Metal,MAIN PIPE LH R/C,17/06/2020,75,12,7.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200618A002,AUN,Metal,MAIN PIPE LH R/C,18/06/2020,75,12,7.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200619A006,AUN,Metal,MAIN PIPE LH R/C,19/06/2020,75,12,7.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200602A004,AUN,Metal,MAIN PIPE LH RR BACK,02/06/2020,100,12,9.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200608A004,AUN,Metal,MAIN PIPE LH R/C,08/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200609A006,AUN,Metal,MAIN PIPE LH RR BACK,09/06/2020,100,12,9.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200615A006,AUN,Metal,MAIN PIPE LH RR BACK,15/06/2020,150,12,13.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200616A001,AUN,Metal,MAIN PIPE LH RR BACK,16/06/2020,50,12,5.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200617A005,AUN,Metal,MAIN PIPE LH RR BACK,17/06/2020,50,12,5.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200618A003,AUN,Metal,MAIN PIPE LH RR BACK,18/06/2020,100,12,9.00,aun-metal-1,Batman,24/11/2020
AD20112401,20200610A002,AUN,Metal,MAIN PIPE LH R/C,10/06/2020,75,12,7.00,aun-metal-1,Batman,27/11/2020
