Project Code,status,Supplier Code,Part Number,Part Name,Package No,Package Volume,Part Weight,Remark,Update By,Update Date
AD-MR-IB,Confirm,XCL,EB3A-96624A35-B,REINF RR ST BK SUPT BRKT ,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,EB3A-96613D79-A,BRKT ASY RR ST BEL RETR MTGN,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,EB3A-96605A39-A,BRKT RR ST CSHN SUPT FRT ,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG154410-A,FR RR ST BK UPR 60 ,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG154409-A,FR RR ST BK UPR 40 ,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG151344-B,FR RR ST BK CTR ,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG150201-C,RISER LINK ASSY U375 2R LH,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG150200-C,RISER LINK ASSY U375 2R RH,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,AAPICO,3489126,ASM RSB LATCH + 4 PRE-,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,AAPICO,1863665,ASM LATCH WITH STRAP RSB,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,1846457,BRACKET MOTOR HOLDER ,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG127557-B,PIN CTR PIVOT RSB,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG127556-B,SHAFT PVT RSB HEX OTR,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG148436-A,PLATE SBR SUPPORT RSC EXEC,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,EB3A-96600E76-A-TH,PAN RR ST CSHN,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,EB3A-96624A35-B-TH,REINF RR ST BK SUPT BRKT,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,EB3A-96613D79-A-TH,BRKT ASY RR ST BEL RETR MTGN,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,EB3A-96606B08-A-TH,REINF BRKT RR ST,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,EB3A-96605A39-A-TH,BRKT RR ST CSHN SUPT FRT,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,EB3A-96605A38-A-TH,BRKT RR ST CSHN SUPT FRT,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG154543-B,SHIM PLATE 1.2MM U375 TOWEL BAR,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG154416-A-TH,REINF RR ST BK SUPT BRKT,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG154411-A-TH,BRKT RR ST CTR,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG154410-A-TH,FR RR ST BK UPR 60,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG154409-A-TH,FR RR ST BK UPR 40,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG151829-A-TH,BRKT ASSY RR ST BELT MTNG,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG151344-B-TH,FR RR ST BK CTR,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG150499-A-TH,BRKT REINF CATCHER PIN,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG150302-A-TH,BRKT - RR ST CSHN SUPT FRT,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG150201-C-TH,RISER LINK ASSY U375 2R LH,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG150200-C-TH,RISER LINK ASSY U375 2R RH,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG141389-B-TH,FRM RSC 3R LH IB FRT LNK RVT ASY,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG141388-B-TH,FRM RSC 3R LH OB FRT LNK RVT ASY,box-01,3024000.00,100.00,,Batman,30/11/2020
AD-MR-IB,Confirm,XCL,AG141387-B-TH,FRM RSC 3R RH IB FRT LNK RVT ASY,box-01,3024000.00,100.00,,Batman,30/11/2020
