Item No,Order ID,Part Number,Part Description,Supplier Name,Plant,Order Amount,Date
9,20200619A001,2521817,200,AUN,Metal,200,19/06/2020
10,20200602A001,2521825,200,AUN,Metal,200,02/06/2020
10,20200604A001,2521825,150,AUN,Metal,150,04/06/2020
10,20200605A001,2521825,200,AUN,Metal,200,05/06/2020
10,20200608A001,2521825,250,AUN,Metal,250,08/06/2020
10,20200609A001,2521825,200,AUN,Metal,200,09/06/2020
10,20200610A001,2521825,200,AUN,Metal,200,10/06/2020
10,20200611A001,2521825,200,AUN,Metal,200,11/06/2020
10,20200612A001,2521825,200,AUN,Metal,200,12/06/2020
10,20200615A001,2521825,200,AUN,Metal,200,15/06/2020
10,20200616A001,2521825,200,AUN,Metal,200,16/06/2020
10,20200617A001,2521825,200,AUN,Metal,200,17/06/2020
10,20200618A001,2521825,200,AUN,Metal,200,18/06/2020
10,20200619A001,2521825,200,AUN,Metal,200,19/06/2020
11,20200602A001,2521828,200,AUN,Metal,200,02/06/2020
11,20200604A001,2521828,150,AUN,Metal,150,04/06/2020
11,20200605A001,2521828,200,AUN,Metal,200,05/06/2020
11,20200608A001,2521828,250,AUN,Metal,250,08/06/2020
11,20200609A001,2521828,200,AUN,Metal,200,09/06/2020
11,20200610A001,2521828,200,AUN,Metal,200,10/06/2020
11,20200611A001,2521828,200,AUN,Metal,200,11/06/2020
11,20200612A001,2521828,200,AUN,Metal,200,12/06/2020
11,20200615A001,2521828,200,AUN,Metal,200,15/06/2020
11,20200616A001,2521828,200,AUN,Metal,200,16/06/2020
11,20200617A001,2521828,200,AUN,Metal,200,17/06/2020
11,20200618A001,2521828,200,AUN,Metal,200,18/06/2020
11,20200619A001,2521828,200,AUN,Metal,200,19/06/2020
12,20200602A001,2606583,200,AUN,Metal,200,02/06/2020
12,20200604A001,2606583,150,AUN,Metal,150,04/06/2020
12,20200605A001,2606583,200,AUN,Metal,200,05/06/2020
12,20200608A001,2606583,250,AUN,Metal,250,08/06/2020
12,20200609A001,2606583,200,AUN,Metal,200,09/06/2020
12,20200610A001,2606583,200,AUN,Metal,200,10/06/2020
12,20200611A001,2606583,200,AUN,Metal,200,11/06/2020
12,20200612A001,2606583,200,AUN,Metal,200,12/06/2020
12,20200615A001,2606583,200,AUN,Metal,200,15/06/2020
12,20200616A001,2606583,200,AUN,Metal,200,16/06/2020
12,20200617A001,2606583,200,AUN,Metal,200,17/06/2020
12,20200618A001,2606583,200,AUN,Metal,200,18/06/2020
12,20200619A001,2606583,200,AUN,Metal,200,19/06/2020
13,20200604A001,2549013,120,AUN,Metal,120,04/06/2020
13,20200608A001,2549013,180,AUN,Metal,180,08/06/2020
13,20200609A001,2549013,120,AUN,Metal,120,09/06/2020
13,20200610A001,2549013,120,AUN,Metal,120,10/06/2020
13,20200611A001,2549013,60,AUN,Metal,60,11/06/2020
13,20200615A001,2549013,120,AUN,Metal,120,15/06/2020
13,20200616A001,2549013,120,AUN,Metal,120,16/06/2020
13,20200617A001,2549013,120,AUN,Metal,120,17/06/2020
13,20200618A001,2549013,120,AUN,Metal,120,18/06/2020
14,20200604A001,2597418,240,AUN,Metal,240,04/06/2020
14,20200608A001,2597418,360,AUN,Metal,360,08/06/2020
14,20200609A001,2597418,240,AUN,Metal,240,09/06/2020
14,20200610A001,2597418,240,AUN,Metal,240,10/06/2020
14,20200611A001,2597418,120,AUN,Metal,120,11/06/2020
14,20200615A001,2597418,240,AUN,Metal,240,15/06/2020
14,20200616A001,2597418,240,AUN,Metal,240,16/06/2020
14,20200617A001,2597418,240,AUN,Metal,240,17/06/2020
14,20200618A001,2597418,240,AUN,Metal,240,18/06/2020
15,20200604A001,2622247,120,AUN,Metal,120,04/06/2020
15,20200608A001,2622247,180,AUN,Metal,180,08/06/2020
15,20200609A001,2622247,120,AUN,Metal,120,09/06/2020
15,20200610A001,2622247,120,AUN,Metal,120,10/06/2020
15,20200611A001,2622247,60,AUN,Metal,60,11/06/2020
15,20200615A001,2622247,120,AUN,Metal,120,15/06/2020
15,20200616A001,2622247,120,AUN,Metal,120,16/06/2020
15,20200617A001,2622247,120,AUN,Metal,120,17/06/2020
15,20200618A001,2622247,120,AUN,Metal,120,18/06/2020
16,20200604A001,2521952,100,AUN,Metal,100,04/06/2020
16,20200609A001,2521952,100,AUN,Metal,100,09/06/2020
16,20200610A001,2521952,100,AUN,Metal,100,10/06/2020
